window,family,runs,chi2_mean,chi2_std,lc_mean,lc_std,lc_min,lc_max,lc_median,inside_24_30
2-40,exp_saturation,15,21.532667434322303,0.09552298376289886,351.826402515317,99.959397059681,36.04622774789518,424.56658953343197,384.1768644710604,False
2-40,gaussian_feature,15,20.277394683577374,0.9273597257084036,66.47084652856475,65.09380947573675,22.003309094200333,155.4061189193997,22.003309161618915,False
2-40,logistic,15,21.54510171220644,6.581567572843053e-06,129.75207648259655,5.857281091848765,109.83151635953743,132.82987565907365,131.89059496372028,False
2-40,lorentzian_feature,15,20.33143590192293,1.1150264330377917,39.59322803782229,20.85780784383582,21.798511424207973,83.75719459772826,21.798511545155762,False
2-40,rational,15,21.395847373858015,0.43437270278336665,470.2118022437835,145.2488038923995,16.310457163015798,551.2769871730766,537.2446418929098,False
2-40,soft_hinge,15,21.039901484289793,0.48915800800768494,70.39718569208277,53.552108281205825,21.99570549595831,126.38589405388839,22.011812294906765,False
2-40,tanh,15,21.30154551574081,0.6427674411231523,106.81192107887718,37.627938709377084,16.22393915352845,131.9243646334143,120.60663698762164,False
3-35,arctan,15,14.638026852679733,1.1311920750028883,22.968482652323086,4.853826047563435,15.192255321502557,25.796201720843037,25.79620162636977,True
3-35,exp_saturation,15,14.199865641118096,1.2648037174160789,26.119813163598483,3.2754389680775624,16.855812520485106,34.13589106920472,26.215807222501567,True
3-35,gaussian_feature,15,13.330451843651332,0.3227436920072673,26.541501171883475,4.850497306330243,21.53192906793287,30.924876789409417,30.924876686627027,False
3-35,logistic,15,13.971239165494364,0.641787765527955,24.891689001762206,2.6565143879596915,15.288962083802486,25.57759812342524,25.57759806279797,True
3-35,lorentzian_feature,15,13.372409649285865,0.053462513187039956,28.08383741567276,4.829036177394754,21.486117920324446,31.382697173704237,31.382697127345736,False
3-35,rational,15,14.454391545506878,1.3978639436593197,24.772054744956268,4.470787958882353,15.32120013768061,34.4747392441203,25.538640132425492,True
3-35,soft_hinge,15,15.595958099381834,0.00010121336748531904,21.110368727944486,0.006288673367295421,21.088236497017522,21.114418045155197,21.111888332020946,False
3-35,tanh,15,14.136948054006995,0.8746092978955764,24.2057799354875,3.620218841722611,15.288962147575159,25.57759809871842,25.577598045950854,True
5-35,arctan,15,14.215676954771634,0.8083582184266181,24.487450955998117,3.40509181408034,16.10050403180228,25.777750537227647,25.777750464387637,True
5-35,exp_saturation,15,14.53082702435559,1.763412707063844,27.792295823345878,3.2685203616460723,26.213450538613483,34.10997495678506,26.213450625050044,True
5-35,gaussian_feature,15,13.257717301666725,0.2764848073063426,25.917835342011475,4.855075240408748,21.530322692538753,30.93213553950768,21.530322740806763,False
5-35,logistic,15,13.736649007725056,3.646634197959212e-15,25.572472792890682,3.511086592868813e-08,25.572472745640432,25.57247284819522,25.572472791125847,True
5-35,lorentzian_feature,15,13.27448699140148,0.02442715187711769,28.098428069382365,4.834524458147052,21.49321016328412,31.401037084128042,31.40103698589986,False
5-35,rational,15,14.180144557567157,1.2166814943573836,25.50017260397096,3.451096619954332,16.152227784017768,34.40758240820663,25.534059910640906,True
5-35,soft_hinge,15,15.532289033054221,0.00024192660564904359,21.114851794208295,0.02706461530140734,21.10689605251984,21.2124439623899,21.107154891692947,False
5-35,tanh,15,14.324232394039939,1.2847983574265556,24.866889369751885,4.20114113621191,16.0275888790972,34.07848944594133,25.572472757682682,True
